City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Hyderabad,2018-02-19,46.22,112.55,4.17,44.16,26.69,20.45,0.77,7.39,53.02,1.28,6.61,1.72,111
Amritsar,2019-05-17,38.31,96.81,20.38,14.91,34.47,11.92,0.73,16.1,12.17,4.09,2.22,9.45,99
Kolkata,2019-10-26,33.33,63.66,10.15,26.3,36.42,10.78,0.66,6.74,14.61,19.16,33.62,2.22,54
Patna,2020-02-10,97.02,177.26,63.82,53.96,115.49,30.99,1.36,9.59,14.1,2.37,9.49,3.86,226
Amritsar,2018-03-06,47.8,85.78,10.74,4.86,22.62,7.06,0.63,2.86,25.36,8.82,5.26,3.68,73
Hyderabad,2016-11-10,71.55,106.32,9.65,56.07,17.15,36.33,0.45,46.68,79.48,0.11,1.66,0.29,144
Chandigarh,2020-03-03,35.14,90.3,9.78,16.91,16.8,66.95,0.6,9.75,12.35,5.31,0.13,1.27,82
Chandigarh,2020-04-25,17.25,60.12,2.01,11.93,7.88,28.7,0.57,13.36,38.25,3.48,0.58,1.14,63
Delhi,2019-09-22,26.51,65.65,17.88,30.66,33.12,26.2,0.91,9.32,21.15,1.89,17.61,1.07,86
Amritsar,2020-04-21,9.84,39.79,19.48,13.03,29.25,12.24,0.79,13.02,43.02,1.33,1.43,2,47
Gurugram,2020-06-22,48.62,97.08,6.49,8.8,10.23,4.3,0.65,5.13,79.1,5.25,2.88,1.62,134
Hyderabad,2020-01-18,35.01,74.36,10.46,29.5,22.59,14.58,0.48,5.17,25.43,0.21,1.61,0.01,69
Amaravati,2020-05-30,22.5,62.08,1.46,6.94,4.87,10.98,0.57,17.09,21.62,0.09,0.67,0.12,63
Visakhapatnam,2019-07-26,19.61,49.3,22.44,40.12,39.59,4.58,0.67,13.09,7.5,5.41,17.78,4.17,78
Amritsar,2018-05-30,66.86,67.01,12.53,8.69,21.22,4.99,0.74,6.42,41.35,0.8,2.5,5.17,113
Hyderabad,2017-05-15,35.14,80.34,4.56,30.94,9.21,21.58,0.11,6.38,49.94,0.05,0.55,0.14,85
Hyderabad,2018-09-10,38.35,94.94,6.64,32.15,22.32,13.3,0.46,7.75,27.14,2.14,19.72,6.36,86
Visakhapatnam,2016-12-22,67.26,102.33,36.66,77.47,64.63,17.05,1.84,21.77,51.71,10.26,13.83,12.15,120
Hyderabad,2019-08-01,10.31,22.89,3.84,14.94,10.97,6.75,0.42,6.72,14.78,0.13,0.58,0.02,41
Chandigarh,2020-01-21,65.75,140.69,38.7,16.84,39.52,43.79,1.03,9.06,9.56,9.44,0.6,1.04,136
Delhi,2019-05-19,81.99,162.83,17.04,45.8,40.46,35.4,1.21,17.36,59.34,3.35,20.41,0.18,168
Amaravati,2020-06-07,11.49,47.69,1.48,6.9,4.87,6.93,0.42,12.34,38.36,0.06,0.36,0.1,50
